LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
01011101,Stülerstraße,81,37,31,18,25,32,44,43,55,68,81
01011102,Großer Tiergarten,7,4,3,6,-,-,-,3,6,6,7
01011103,Lützowstraße,31,27,27,30,18,27,31,39,43,36,30
01011104,Körnerstraße,45,18,15,28,34,26,38,59,45,46,43
01011105,Nördlicher Landwehrkanal,16,9,9,9,9,15,16,15,7,15,10
01011201,Wilhelmstraße,22,6,7,13,9,6,12,9,9,15,12
01011202,Unter den Linden Nord,9,-,-,-,-,6,3,6,9,4,6
01011203,Unter den Linden Süd,15,-,3,-,-,9,6,14,17,12,11
01011204,Leipziger Straße,81,16,16,12,24,28,50,61,61,55,71
01011301,Charitéviertel,106,33,42,51,59,58,72,71,66,78,92
01011302,Oranienburger Straße,153,68,75,98,87,109,131,130,153,139,148
01011303,Alexanderplatzviertel,141,49,43,57,66,76,100,117,132,111,122
01011304,Karl-Marx-Allee,101,3,3,19,15,24,30,43,58,83,104
01011305,Heine-Viertel West,64,21,17,7,27,28,46,51,49,51,62
01011306,Heine-Viertel Ost,87,7,9,18,10,21,30,42,64,73,78
01011401,Invalidenstraße,206,90,95,117,120,148,147,168,172,191,187
01011402,Arkonaplatz,192,74,95,81,99,117,136,172,177,208,204
01022101,Huttenkiez,20,3,9,9,6,3,15,15,18,25,16
01022102,Beusselkiez,40,15,-,13,27,22,26,35,34,39,38
01022103,Westhafen,-,-,-,-,-,-,3,-,-,3,-
01022104,Emdener Straße,135,41,53,53,63,49,84,125,119,118,145
01022105,Zwinglistraße,37,3,-,13,3,13,21,22,27,24,30
01022106,Elberfelder Straße,67,54,38,44,38,59,51,81,69,59,63
01022201,Stephankiez,88,12,24,33,35,69,58,58,69,75,85
01022202,Heidestraße,-,4,3,-,3,3,6,3,3,3,3
01022203,Lübecker Straße,46,15,21,15,14,24,18,28,39,38,34
01022204,Thomasiusstraße,41,13,23,23,22,22,22,38,36,32,40
01022205,Zillesiedlung,10,7,7,9,8,10,6,3,12,16,12
01022206,Lüneburger Straße,19,15,12,13,13,9,21,26,22,25,23
01022207,Hansaviertel,108,138,134,143,126,87,53,56,90,77,97
01033101,Soldiner Straße,158,21,18,34,41,73,120,139,149,145,145
01033102,Gesundbrunnen,55,15,13,21,33,27,56,70,67,74,69
01033201,Brunnenstraße,70,25,24,30,21,30,34,37,56,64,61
01033202,Humboldthain Süd,45,22,9,12,21,30,35,38,46,40,52
01033203,Humboldthain Nordwest,114,25,18,25,25,58,76,106,104,116,122
01044101,Rehberge,94,27,24,27,39,43,67,73,95,82,84
01044102,Schillerpark,51,6,3,3,3,22,49,59,49,51,51
01044103,Westliche Müllerstraße,59,22,3,24,22,19,27,22,45,37,62
01044201,Reinickendorfer Straße,139,18,36,40,50,71,104,151,145,153,145
01044202,Sparrplatz,163,69,60,59,77,102,150,174,155,166,165
01044203,Leopoldplatz,122,30,52,54,55,62,77,90,122,140,119
02010101,Askanischer Platz,54,6,31,25,25,27,33,36,62,47,39
02010102,Mehringplatz,48,12,16,18,24,34,42,55,45,55,52
02010103,Moritzplatz,67,19,30,30,31,49,66,73,79,81,81
02010104,Wassertorplatz,42,19,15,15,12,30,36,43,43,41,38
02020201,Gleisdreieck/Entwicklungsgebiet,3,3,-,-,-,3,3,-,-,-,-
02020202,Rathaus Yorckstraße,43,24,48,46,31,49,49,67,54,47,46
02020203,Viktoriapark,99,58,57,49,63,59,83,87,93,103,93
02020204,Urbanstraße,135,64,71,81,71,96,128,125,135,138,148
02020205,Chamissokiez,143,113,103,77,111,123,119,159,171,154,159
02020206,Graefekiez,189,101,111,132,133,156,171,197,194,200,185
02030301,Oranienplatz,64,52,74,66,92,98,106,106,113,101,80
02030302,Lausitzer Platz,117,93,94,90,93,140,152,163,156,138,127
02030401,Reichenberger Straße,172,119,132,109,147,156,210,204,203,196,191
02030402,Wrangelkiez,147,124,120,170,152,180,191,210,172,148,156
02040501,Barnimkiez,11,6,12,13,4,3,13,9,15,12,9
02040502,Friedenstraße,48,10,9,17,19,19,28,40,36,34,46
02040503,Richard-Sorge-Viertel,86,18,31,27,28,39,66,73,85,89,81
02040701,Andreasviertel,91,24,36,50,62,69,83,88,88,83,84
02040702,Weberwiese,119,48,49,73,84,85,94,109,106,109,122
02040703,Wriezener Bahnhof/Entwicklungsgebiet,36,9,4,-,6,9,8,12,18,23,24
02050601,Hausburgviertel,106,34,39,28,48,68,86,98,99,100,110
